dynasty_id,dynasty_name_tr,dynasty_name_ar,dynasty_name_en,parent_tribe_or_clan,ethnic_origin,region_primary,regions_all,capital_city,date_start_hijri,date_end_hijri,date_start_ce,date_end_ce,sub_branch,allied_dynasties,rival_dynasties,predecessor,successor,end_cause,migration_conquest_notes,chapter,notes,ethnic_tags,government_type,religious_orientation,importance_level,capital_lat,capital_lon,duration_years_approx,century_start,century_end,geographic_zone,region_center_lat,region_center_lon,region_bbox_n,region_bbox_s,region_bbox_e,region_bbox_w,governance_detail,religious_detail,military_system,economic_base,cultural_tags,historical_period
67,Şirvanşahlar,Shīrwān Shāhiyyūn,The Sharwān Shāhs,1. Yezîdî Şahlar (Arap kökenli iddia); 2. İkinci Şah soyu,Arap (iddia) / İranî,Şirvan (Doğu Kafkasya / Azerbaycan),Şirvan; Bakü; Şamahı; Derbent (geçici),Şamahı (Shamākhī); Bakü (geç dönem),c. 183,c. 988,c. 799,c. 1580,1. Birinci Yezîdî Şahlar soyu; 2. İkinci Şahlar soyu (Kesilerin/Derbendîler),Abbâsîler; Selçuklular (tâbiiyet),Ruslar; Gürcüler; Hazar Hanlığı; Safevîler,Sâsânî sınır valileri,Safevî fethi,Safevî Şah I. İsmail'in fethi (c. 917/1511); son kalıntılar Osmanlı desteğiyle kısa süre; tamamen c. 988/1580,Yezîd b. Mezyed eş-Şeybânî'nin torunları (iddia); Şirvan Sâsânî döneminden beri stratejik bölge; Kafkasya'nın en uzun ömürlü İslam hanedanlarından,Chapter 9: Caucasus and Western Persian Lands,~800 yıl hüküm; İslam dünyasının en uzun ömürlü hanedanlarından; sikke bastılar; Şirvanşahlar Sarayı (Bakü) UNESCO Miras Listesi'nde; iki ana soy kolu,Arap,Şahlık,,Normal,33.51,36.29,781,8,16,Kafkasya/Batı İran,42.0,47.5,43.0,41.0,49.0,46.0,Vasal Devlet,Sünnî Şâfiî,Karma Profesyonel,Tarım,,Selçuklu Çağı
68,Hâşimîler (Derbent),al-Hāshimiyyūn,The Hāshimids,Hâşimî (Sülemî kolu),Arap,Derbent (Bâbülabvâb),Derbent; Kuzey Kafkasya sınır bölgesi,Derbent (Bāb al-Abwāb),c. 255,c. 468,c. 869,c. 1075,,Abbâsîler,Hazar Hanlığı; yerel Kafkas beyleri; Ruslar,Abbâsî sınır valileri,Selçuklu nüfuzu,Selçuklu baskısı ve yerel güçler,Abbâsî sınır garnizonunun yerel hanedana dönüşmesi; İslam'ın Kafkasya'daki ileri karakolu,Chapter 9: Caucasus and Western Persian Lands,Derbent = Bâbülabvâb ('Kapılar Kapısı'); Kafkasya'nın İslam sınır kalesi; İslam'ın kuzeye yayılışında önemli,Arap,Hanedan/Beylik,,Normal,42.06,48.3,206,9,11,Kafkasya/Batı İran,42.0,48.0,42.5,41.5,49.0,47.0,Vasal Devlet,Sünnî Şâfiî,Karma Profesyonel,Ticaret/Transit,UNESCO Miras,Geç Abbâsî
69,Cüstânîler,al-Jūstāniyyūn,The Justānids,Cüstân ailesi (yerel Deylemi),İranî (Deylemi),Deylem (Hazar Denizi güney kıyısı),Deylem; Gîlân kısmen,,c. 175,c. 400,c. 791,c. 1010,,Zeydî Alevîler (Taberistân),Abbâsîler; Sâmânîler; Büveyhîler,Yerel Deylemi kabile beyleri,Büveyhî/Selçuklu nüfuzu,Büveyhî baskısı ve bölgesel güç değişimleri,Deylemi dağlık bölgede yarı bağımsız; İslam'a geç giriş; Zeydî Şiîlik etkisi,Chapter 9: Caucasus and Western Persian Lands,Deylem bölgesi İslam'a geç girdi; Büveyhîlerin de Deylem kökenli olması önemli bağlantı,İranî,Hanedan/Beylik,,Normal,37.5,49.5,219,8,11,Kafkasya/Batı İran,37.5,49.5,38.5,36.5,50.5,48.5,Vasal Devlet,Şiî Zeydî,Kabile Ordusu,Tarım,,Erken Abbâsî
70,Sâcîler (Sâcoğulları),al-Sājiyyūn,The Sajids,Sâc ailesi (Uşrûsana Türk/İranî),Türk/İranî (Uşrûsana),Azerbaycan ve Ermenistan,Azerbaycan; Ermenistan; Diyâr-ı Bekr (geçici),Merâga; Erdebîl,266,318,879,930,,Abbâsîler (sadık tâbi),Yerel Ermeni ve Gürcü prensleri; Deylemi beyler,Abbâsî valileri,Müsâfirîler/Sellarîler,Son emirin yenilgisi ve soyun sona ermesi,Ebü's-Sâc Dîvdâd Abbâsî askeri komutanı olarak Azerbaycan'a atandı; Uşrûsana (Mâverâünnehir) kökenli askerî aile,Chapter 9: Caucasus and Western Persian Lands,Kısa ömürlü; Abbâsî tâbiiyetinde; Yûsuf b. Ebü's-Sâc en güçlü emir; sikke bastılar,Türk,Beylik,,Yüksek,37.39,46.22,51,9,10,Kafkasya/Batı İran,41.7,44.8,42.5,41.0,46.0,43.0,Vasal Devlet,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Tarım,,Erken Abbâsî
71,Müsâfirîler (Sellârîler),al-Musāfiriyyūn / al-Sallāriyyūn,The Musāfirids or Sallārids,Deylemi askerî ailesi,İranî (Deylemi),Azerbaycan ve Deylem,"Azerbaycan (Tebriz, Erdebîl); Deylem",Tebriz; Erdebîl,c. 330,c. 483,c. 941,c. 1090,1. Azerbaycan kolu; 2. Deylem kolu,,Büveyhîler; Ravvâdîler; Şeddâdîler; Selçuklular,Sâcîler,Selçuklu nüfuzu / Ravvâdîler,Selçuklu baskısı; bölgesel güç kayıpları,Merzubân b. Muhammed Azerbaycan'da güç kazandı; kardeşi Vehmûsûdan Deylem'de,Chapter 9: Caucasus and Western Persian Lands,İki kol; Merzubân b. Muhammed en güçlü emir; Deylemi askerî geleneği; sikke bastılar,İranî,Hanedan/Beylik,,Yüksek,38.08,46.29,149,10,11,Kafkasya/Batı İran,39.0,46.0,42.5,37.0,48.0,43.0,Vasal Devlet,Sünnî Şâfiî,Gulâm/Memlûk Sistemi,Tarım,,Geç Abbâsî
72,Ravvâdîler,al-Rawwādiyyūn,The Rawwādids,Ezdî Arap kabilesi (Ravvâd b. Müsennâ),Arap (Ezdî) → Kürtleşmiş,Azerbaycan (Tebriz),Tebriz; Azerbaycan,Tebriz,c. 340,c. 463,c. 951,c. 1071,,,Müsâfirîler; Şeddâdîler; Selçuklular,Sâcîler / Müsâfirîler,Selçuklu fethi,Selçuklu Alp Arslan'ın fethi (c. 463/1071),Arap kökenli ama zamanla Kürtleşmiş aile; Tebriz merkezli,Chapter 9: Caucasus and Western Persian Lands,Tebriz'i Azerbaycan'ın başkenti haline getirmeye katkı; Kürtleşmiş Arap ailesi; Ebü'l-Heycâ Hüseyin en güçlü emir; sikke bastılar,Arap|İranî|Kürt,Hanedan/Beylik,,Yüksek,38.08,46.29,120,10,11,Kafkasya/Batı İran,40.0,49.0,41.5,39.0,50.5,47.0,Vasal Devlet,Sünnî Şâfiî,Karma Profesyonel,Ticaret/Transit,UNESCO Miras;Mimari,Geç Abbâsî
73,Şeddâdîler,al-Shaddādiyyūn,The Shaddādids,Kürt ailesi,Kürt,Errân/Aran (Gence ve Dvîn),Gence (Ganja); Dvîn (Dvin); Ani (geç dönem kol),Gence (Ganja),c. 340,c. 571,c. 951,c. 1175,1. Gence ve Dvîn ana kolu; 2. Ani kolu,Selçuklular (tâbiiyet),Gürcüler; Bizans; Müsâfirîler; Ravvâdîler,Müsâfirîler (Errân'da),İldenizliler (Azerbaycan Atabekleri),Selçuklu nüfuzu; Gürcü baskısı; İldenizli Atabekleri,Muhammad b. Şeddâd Errân'da güç kazandı; Ani Ermeni başkentini Selçuklulardan teslim aldılar (478/1085),Chapter 9: Caucasus and Western Persian Lands,2 kol; Kürt hanedanı; Kafkasya'da İslam savunuculuğu; Ani'de kısa süreli hüküm; sikke bastılar,İranî|Kürt,Hanedan/Beylik,,Normal,40.68,46.36,224,10,12,Kafkasya/Batı İran,40.7,46.4,42.0,39.0,48.0,44.0,Vasal Devlet,Sünnî Şâfiî,Gulâm/Memlûk Sistemi,Tarım,,Selçuklu Çağı
74,Dülafoğulları,al-Dulafiyyūn,The Dulafids,Dülef b. Muhalleb ailesi,Arap,Cibâl (Batı İran),Karac; İsfahan (geçici); Hemedân (geçici),Karac,c. 210,c. 284,c. 825,c. 897,,Abbâsîler (tâbiiyet),,Abbâsî valileri,Abbâsî doğrudan yönetimi,Abbâsî halifesi al-Mu'tedid hanedanı tasfiye etti (c. 284/897),Abbâsî valileri olarak yarı bağımsızlık kazandılar; Cibâl bölgesinde,Chapter 9: Caucasus and Western Persian Lands,Kısa ömürlü Arap hanedanı; Abbâsî tâbiiyetinde; Cibâl (batı İran) merkezli,Arap,Beylik,,Düşük,33.5,47.07,72,9,9,Kafkasya/Batı İran,33.5,47.0,34.5,32.0,48.5,46.0,Vasal Devlet,Sünnî Hanefî,Kabile Ordusu,Tarım,,Erken Abbâsî
75,Büveyhîler (Bûyîler),al-Būyahiyyūn / al-Buwayhiyyūn,The Būyids or Buwayhids,Bûye ailesi (Deylemi),İranî (Deylemi),"Irak, Fars, Cibâl, Kirmân","Bağdat/Irak; Fars (Şîraz); Cibâl (Rey, Hemedân, İsfahan); Kirmân; Hûzistân; Umân (geçici)",Şîraz (Fars); Bağdat (Irak); Rey (Cibâl),320,454,932,1062,"1. Cibâl kolu: (a) Hemedân-İsfahan, (b) Rey; 2. Fars ve Hûzistân kolu; 3. Kirmân kolu; 4. Irak kolu; 5. Umân'daki yerel beyler",Abbâsîler (kukla halife),Sâmânîler; Gazneliler; Selçuklular,Abbâsî doğrudan yönetimi (Irak); Sâcîler/Müsâfirîler (Fars),Selçuklular (tüm kollar),Selçuklu Tuğrul Bey'in Bağdat'ı alması (447/1055); diğer kollar da Selçuklularca tasfiye edildi,"Üç kardeş (Ali, Hasan, Ahmed) Deylem'den çıkarak Fars, Cibâl ve Irak'ı fethetti; 334/945 Bağdat'a girdi; Abbâsî halifesini kukla haline getirdi; Emîrü'l-ümerâ unvanı; 'Adud al-Dawla en güçlü hükümdar",Chapter 9: Caucasus and Western Persian Lands,5 kol; Şiî (Oniki İmam); Abbâsî halifesini kontrol altına aldılar (334/945); Deylemi askeri geleneği; 'Adud al-Dawla döneminde zirve; sikke bastılar; Irak kolu en uzun ömürlü,İranî,Hilafet,Şiî,Yüksek,33.31,44.37,130,10,11,Irak/Cezîre,35.0,46.5,37.0,34.0,48.0,44.5,Kabile Konfederasyonu,Sünnî Şâfiî,Kabile Ordusu,Tarım,,Geç Abbâsî
76,Hasanveyhîler,al-Hasanūyiyyūn / al-Hasanwayhiyyūn,The Hasanūyids or Hasanawayhids,Berzikânî Kürt aşireti,Kürt,"Cibâl (Batı İran, Dînevar-Şâhrizor)",Dînevar; Şâhrizor; Nihâvend; Hemedân (geçici),Dînevar; Şâpurhâst,c. 348,c. 406,c. 959,c. 1015,,Büveyhîler (geçici),Büveyhîler; Annâzîler,,Annâzîler; Selçuklu nüfuzu,Büveyhî baskısı; Annâzî yükselişi; Selçuklu ilerleyişi,Hasanveyh Büveyhî zayıflığından yararlanarak bölgede güç kazandı; Kürt dağ beylikleri geleneği,Chapter 9: Caucasus and Western Persian Lands,Kürt dağ beyliği; Hasanveyh ve oğlu Bedr b. Hasanveyh en önemli emirler; Bedr büyük servet biriktirdi; sikke bastılar,İranî|Kürt,Hanedan/Beylik,,Normal,34.31,47.42,56,10,11,Kafkasya/Batı İran,34.5,47.5,36.0,33.0,49.0,46.0,Kabile Konfederasyonu,Sünnî Şâfiî,Kabile Ordusu,Tarım,,Geç Abbâsî
77,Annâzîler,al-'Annāziyyūn,The 'Annāzids,Şâzencân Kürt aşireti,Kürt,Cibâl (Hulvân-Dînevar),Hulvân; Dînevar; Şâhrizor (geçici); Dakkûkā,Hulvân,c. 380,c. 511,c. 990,c. 1117,,,Hasanveyhîler; Büveyhîler; Selçuklular,Hasanveyhîler (kısmen),Selçuklu nüfuzu,Selçuklu baskısı ve Kürt beyliklerinin tasfiyesi,Büveyhî-Hasanveyhî çekişmesinden yararlanarak Hulvân bölgesinde güç kazandı,Chapter 9: Caucasus and Western Persian Lands,Kürt dağ beyliği; Ebü'l-Feth Muhammed en önemli emir; Irak sınırında stratejik konum,İranî|Kürt,Hanedan/Beylik,,Normal,34.35,45.58,127,10,12,Kafkasya/Batı İran,34.5,45.5,35.5,33.5,47.0,44.0,Kabile Konfederasyonu,Sünnî Şâfiî,Kabile Ordusu,Tarım,,Geç Abbâsî
78,Kâkûyîler (Kâkaveyhîler),al-Kākūyiyyūn,The Kākūyids or Kākawayhids,Deylemi ailesi,İranî (Deylemi),"Cibâl (İsfahan, Hemedân)",İsfahan; Hemedân; Cibâl; Yezd (geç dönem),İsfahan; Yezd (geç dönem),c. 398,c. 543,c. 1008,c. 1148,,Büveyhîler (başlangıçta),Gazneliler; Selçuklular,Büveyhîler,Selçuklu doğrudan yönetimi,Selçuklu baskısı; İsfahan'dan çıkarılarak Yezd'e sığındılar; nihai tasfiye,Muhammed b. Düşmenziyâr (Alâüddevle) Büveyhî zayıflığından yararlanarak İsfahan'da bağımsız oldu,Chapter 9: Caucasus and Western Persian Lands,Deylemi kökenli; Alâüddevle en önemli hükümdar; Gazneli Mahmud ve Selçuklu Tuğrul Bey'e karşı mücadele; Yezd'e sığındılar; sikke bastılar,İranî,Hanedan/Beylik,,Normal,32.65,51.68,140,11,12,Kafkasya/Batı İran,36.5,53.0,37.5,35.5,54.5,51.0,Vasal Devlet,Şiî Zeydî,Karma Profesyonel,Tarım,,Selçuklu Çağı
79,Dâbûyî İspehbedleri,al-Dābūyiyyūn,The Dābūyid Ispahbadhs,Dâbûye ailesi (yerel İranî soy),İranî (Taberistân),Taberistân (Hazar Denizi güney kıyısı),Taberistân; Amul; Sârî,,c. 45,c. 144,c. 665,c. 761,,,Arap fâtihleri; Abbâsîler,Sâsânî yerel beyleri,Bâvendîler; Abbâsî valileri,Abbâsî ordusu Taberistân'ı fethetti,İslam öncesi İranî soylu aile; Arap fethine uzun süre direndi; İspehbed (askeri komutan) unvanı Sâsânî geleneği,Chapter 9: Caucasus and Western Persian Lands,İslam öncesi İranî geleneğin devamı; Taberistân'ın dağlık yapısı bağımsızlığı kolaylaştırdı; kısa ömürlü İslami dönem,Karışık/Bilinmeyen,Hanedan/Beylik,,Düşük,36.56,53.06,96,7,8,Kafkasya/Batı İran,36.5,53.0,37.5,35.5,54.5,51.0,Vasal Devlet,Sünnî (İslam öncesi → İslam),Karma Profesyonel,Tarım,,Emevî
80,Bâvendî İspehbedleri,al-Bāwandiyyūn,The Bāwandid Ispahbadhs,Bâvend ailesi (Sâsânî soyundan iddia),İranî (Taberistân),Taberistân,Taberistân; Gîlân (kısmen); Firrim; Sârî; Amul,Firrim (1. kol); Sârî (2. kol); Amul (3. kol),c. 45,c. 750,c. 665,c. 1349,"1. Kâvûsiye kolu (Firrim); 2. İspehbediye kolu (Sârî); 3. Kinhvâriye kolu (İlhanlı vasalı, Amul)",Zeydî Alevîler (geçici); İlhanlılar (3. kol vasalı),Arap fâtihleri; Ziyârîler; Selçuklular,Sâsânî yerel beyleri,Timurlu fethi,3. kol İlhanlı vasalı olarak devam etti; nihai olarak Timurlu fethi,Sâsânî soyundan iddia; 3 ayrı kol ~700 yıl sürdü; Taberistân'ın dağlık yapısı uzun yaşamı sağladı,Chapter 9: Caucasus and Western Persian Lands,~700 yıl — İslam dünyasının en uzun ömürlü hanedanlarından; 3 kol; İspehbed unvanı; sikke bastılar,Karışık/Bilinmeyen,Hanedan/Beylik,,Normal,36.56,53.06,684,7,14,Kafkasya/Batı İran,36.5,53.0,37.5,35.5,54.5,51.0,Vasal Devlet,Şiî Zeydî,Karma Profesyonel,Tarım,,Geç Abbâsî
81,Ziyârîler,al-Ziyāriyyūn,The Ziyārids,Gîl (Gîlânî) ailesi,İranî (Gîlânî/Deylemi),Cürcân (Gürgân) ve Taberistân,Cürcân; Taberistân; Rey (geçici),Cürcân (Gürgân),315,c. 462,928,c. 1069,,Sâmânîler (geçici),Büveyhîler; Gazneliler; Selçuklular,,Selçuklu nüfuzu,Selçuklu baskısı; son emirlerin güç kaybı,Merdâvîc b. Ziyâr Büveyhî kardeşlerle birlikte çalıştı sonra ayrıldı; Cürcân ve Taberistân'ı fethetti,Chapter 9: Caucasus and Western Persian Lands,Merdâvîc en güçlü (ama kısa ömürlü); torunu Kâbûs b. Veşmgîr ünlü edebiyat ve bilim hamisi (Kâbûsnâme yazarı); Bîrûnî'nin hamisi; sikke bastılar,İranî,Hanedan/Beylik,,Yüksek,36.82,54.44,141,10,11,Kafkasya/Batı İran,37.0,54.5,38.0,36.0,55.5,53.5,Vasal Devlet,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Ticaret/Transit,Edebiyat,Geç Abbâsî
82,Tâhirîler ve Mus'abîler,al-Tāhiriyyūn wa-al-Mus'abiyyūn,The Tāhirids and Mus'abids,Huzâ'a kabilesi (Arap),Arap (Huzâ'a / mevâlî),Horasan ve Bağdat,Horasan (Nîşâbûr); Bağdat (şurta komutanları),Nîşâbûr (Horasan); Bağdat (şurta),205,259,821,873,1. Horasan valileri; 2. Bağdat şurta (askeri polis) komutanları,Abbâsîler (sadık tâbi),Saffârîler,Abbâsî valileri,"Saffârîler (Horasan'ı aldı, 259/873)",Saffârî Ya'kūb b. Leys Horasan'ı fethetti (259/873),Tâhir b. Hüseyin al-Me'mûn'un hilafet mücadelesinde kilit rol oynadı; ödül olarak Horasan valiliği; Bağdat'ta ayrı şurta kolu devam etti,Chapter 10: Eastern Persian Lands,İlk fiilen bağımsız İran hanedanı; Abbâsîlere sadık ama otonom; Horasan'da İslam kültürünün gelişimi; sikke bastılar,Arap,Hanedan/Beylik,,Normal,33.31,44.37,52,9,9,Irak/Cezîre,34.0,51.7,38.0,30.0,57.0,46.0,Federal/Konfederasyon,Şiî İsnâaşerî,Gulâm/Memlûk Sistemi,Ticaret/Transit,Mimari;Edebiyat,Erken Abbâsî
83,Sâmânîler,al-Sāmāniyyūn,The Sāmānids,Sâmân-hudât ailesi (Belh İranî soyluları),İranî (Pers),Mâverâünnehir ve Horasan,Buhara; Semerkand; Nîşâbûr; Horasan; Mâverâünnehir; Fergana,Buhara,261,395,875,1005,,Abbâsîler (bağlılık),Saffârîler; Gazneliler; Karahanlılar,Tâhirîler / Saffârîler,Gazneliler (Horasan); Karahanlılar (Mâverâünnehir),Gazneli ve Karahanlı baskısı; son emirin öldürülmesi (395/1005),Sâmân-hudât ailesinin torunları Mâverâünnehir şehirlerinde vali; İsmâîl b. Ahmed Saffârîleri yenerek Horasan'ı da aldı,Chapter 10: Eastern Persian Lands,"Fars edebiyatının altın çağı; Firdevsî, Rûdekî döneminde; Buhara İslam dünyasının en büyük kültür merkezlerinden; Türk gulâm asker sistemi; sikke bastılar (o); Abbâsî bağlılığı sürdü",İranî,Hanedan/Beylik,,Yüksek,39.77,64.42,130,9,11,Doğu İran/Mâverâünnehir,32.7,51.7,33.5,31.5,53.0,50.0,Vasal Devlet,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Tarım,,Erken Abbâsî
84,Saffârîler,al-Saffāriyyūn,The Saffārids,Leys ailesi (Sîstân halk kökenli),İranî (Pers / Sîstânlı),Sîstân (Sistan),Sîstân; Horasan (geçici); Kirmân (geçici); Fars (geçici),Zerenc (Zarang),247,c. 900,861,c. 1495,1. Leysî kolu; 2. Halefî kolu,,Abbâsîler; Sâmânîler; Gazneliler; Timurlular,Yerel 'ayyâr' hareketleri,Timurlu/Safevî yönetimi,Leysî kol: Sâmânîler tarafından mağlup (287/900); Halefî kol Sîstân'da çok uzun süre devam etti,Ya'kūb b. Leys bakırcı (saffâr) kökenli; 'ayyâr' gönüllü hareketi; Horasan'ı Tâhirîlerden aldı; Bağdat'a yürüdü ama yenildi (262/876),Chapter 10: Eastern Persian Lands,2 kol; Ya'kūb b. Leys halk kökenli tek büyük İslam hanedanı kurucusu; Leysî kol kısa ama parlak; Halefî kol Sîstân'da yüzyıllarca yerel güç; sikke bastılar,İranî,Hanedan/Beylik,,Normal,30.95,61.87,634,9,15,Doğu İran/Mâverâünnehir,37.0,61.0,39.0,34.0,67.0,57.0,Merkezi İmparatorluk,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Ticaret/Transit,Kütüphane;Edebiyat;Mimari;Bilim/Rasathane,Selçuklu Çağı
85,Bânîcûrîler (Ebû Dâvûdîler),al-Bānījūriyyūn,The Bānījūrids or Abū Dāwūdids,Bânîcûr ailesi,İranî,Toharistân (Belh bölgesi),Belh; Toharistân,Belh,c. 233,c. 370,c. 848,c. 980,,Sâmânîler (tâbiiyet),,,Sâmânî doğrudan yönetimi / Gazneli kontrolü,Sâmânî baskısı,Sâmânî tâbiiyetinde Belh ve Toharistân valileri,Chapter 10: Eastern Persian Lands,Küçük yerel hanedan; Sâmânî vasalı,Karışık/Bilinmeyen,Hanedan/Beylik,,Düşük,36.76,66.9,132,9,10,Doğu İran/Mâverâünnehir,36.8,66.9,37.5,35.5,68.0,65.5,Vasal Devlet,Sünnî Hanefî,Karma Profesyonel,Tarım,,Erken Abbâsî
86,Simcûrîler,al-Simjūriyyūn,The Simjūrids,Simcûr ailesi (Türk kökenli),Türk,Horasan (Kuhistan),Kuhistan; Horasan,,c. 320,c. 392,c. 932,c. 1002,,Sâmânîler (hizmet),Gazneliler,,Gazneli kontrolü,Gazneli baskısı,Sâmânî ordusunda Türk askeri komutanlar; yarı bağımsız valilik,Chapter 10: Eastern Persian Lands,Küçük askeri aile; Sâmânî hizmetinde; Gazneli yükselişiyle sona erdi,Türk,Hanedan/Beylik,,Düşük,36.76,66.9,70,10,11,Doğu İran/Mâverâünnehir,37.0,62.0,38.0,35.0,67.0,57.0,Vasal Devlet,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Tarım,,Geç Abbâsî
87,İlyâsîler,al-Ilyāsiyyūn,The Ilyāsids,İlyâs ailesi,İranî,Kirmân,Kirmân,,c. 320,c. 357,c. 932,c. 968,,Büveyhîler (geçici),Büveyhîler,,Büveyhî Kirmân kolu,Büveyhîlerin Kirmân'ı fethi,Kirmân'da kısa süreli yerel hanedan,Chapter 10: Eastern Persian Lands,Çok kısa ömürlü; Kirmân'da; Büveyhîlere yenildi,Karışık/Bilinmeyen,Hanedan/Beylik,,Düşük,36.76,66.9,36,10,10,Doğu İran/Mâverâünnehir,37.0,62.0,38.0,35.0,67.0,57.0,Vasal Devlet,Sünnî Hanefî,Karma Profesyonel,Tarım,,Geç Abbâsî
88,Muhtâcîler,al-Muhtājiyyūn,The Muhtājids,Muhtâc ailesi (Çağâniyân beyleri),İranî,Çağâniyân (Mâverâünnehir),Çağâniyân; Toharistân,Çağâniyân,c. 250,c. 390,c. 864,c. 1000,,Sâmânîler (tâbiiyet),Gazneliler,,Gazneli kontrolü,Gazneli baskısı,Sâmânî tâbiiyetinde Çağâniyân beyleri; Ebû Bekr Muhammed en önemli emir,Chapter 10: Eastern Persian Lands,Çağâniyân beyleri; Sâmânî vasalı; sikke bastılar,Karışık/Bilinmeyen,Hanedan/Beylik,,Normal,37.8,67.8,136,9,10,Doğu İran/Mâverâünnehir,38.0,68.0,39.0,37.0,69.0,67.0,Vasal Devlet,Sünnî Hanefî,Karma Profesyonel,Tarım,,Erken Abbâsî
89,Hârezmşahlar,Khwārazm Shāhiyyūn,The Khwārazm Shāhs,1. Efrîgîler; 2. Me'mûnîler; 3. Gazneli valileri; 4. Anûştegin kolu,1-2: İranî; 3: Türk (Gazneli); 4: Türk,Hârezm (Aral Gölü güneyi),Hârezm; Kâs (Kath); Gürgânc (Gurganj/Ürgenç); Mâverâünnehir (geçici); İran (geçici),"Kâs (Kath, Efrîgîler); Gürgânc (Me'mûnîler ve sonrası)",c. 1. yy,628,c. 7. yy,1231,1. Kâs/Kath Efrîgîleri; 2. Gürgânc Me'mûnîleri; 3. Gazneli valileri (Hârezmşah unvanlı); 4. Anûştegin kolu (Selçuklu valisi → bağımsız),Sâmânîler (1-2 kol); Selçuklular (4. kol başlangıçta),Gazneliler; Selçuklular; Moğollar,Sâsânî/yerel İranî beyler,Moğol fethi,Moğol Cengiz Han istilası (616-28/1219-31); son sultan Celâleddîn Hârezmşah'ın ölümü (628/1231),4. kol: Anûştegin Selçuklu gulâmı → Hârezm valisi; torunu Atsız fiilen bağımsız; Tekiş ve Muhammed II büyük imparatorluk kurdular; Muhammed II Abbâsî halifesine meydan okudu; Moğol felaketi,Chapter 10: Eastern Persian Lands,4 ayrı kol; Efrîgîler en eski (İslam öncesi); Anûştegin kolu en önemli ve güçlü; Sultan Muhammed II Moğol istilası öncesi İslam dünyasının en güçlü hükümdarlarından; Celâleddîn Hârezmşah Moğollara karşı son direniş; sikke bastılar,Türk,Şahlık,,Yüksek,42.30,59.13,,,,Doğu İran/Mâverâünnehir,36.0,59.6,38.0,32.0,69.0,52.0,Merkezi İmparatorluk,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Ticaret/Transit,Kütüphane;Edebiyat;Bilim/Rasathane;Mimari,Erken Abbâsî
90,Karahanlılar,al-Qarakhāniyyūn,The Qarakhanids,Türk (muhtemelen Karluk/Yağma/Çiğil boyları),Türk,Mâverâünnehir ve Doğu Türkistan,Buhara; Semerkand; Fergana; Balasagun; Kâşgar; Hotan; Özkend; Şâş (Taşkent); İlâk; Talas,Balasagun → Kâşgar (doğu); Semerkand (batı); Özkend (Fergana),c. 382,c. 609,c. 992,c. 1212,"1. Birleşik krallık Büyük Kağanları; 2. Batı Kağanlığı (Mâverâünnehir, Semerkand); 3. Doğu Kağanlığı (Balasagun→Kâşgar); 4. Fergana Kağanları (Özkend)",Selçuklular (geçici tâbiiyet),Sâmânîler; Gazneliler; Selçuklular; Karahitaylar; Hârezmşahlar,Sâmânîler (Mâverâünnehir'de),Hârezmşahlar / Moğol fethi,Batı: Hârezmşah fethi (c. 609/1212); Doğu: Karahitay/Moğol baskısı,İslam'ı kabul eden ilk büyük Türk hanedanı (c. 340/951 Satuk Buğra Han); Sâmânîleri Mâverâünnehir'den çıkardılar (389/999); doğu-batı olarak ikiye bölündüler,Chapter 10: Eastern Persian Lands,İslam'ı kabul eden ilk Türk devleti; Satuk Buğra Han; Yûsuf Has Hâcib (Kutadgu Bilig); Kâşgarlı Mahmud (Dîvânu Lugâti't-Türk); 4 kol; soy şeceresi hâlâ tartışmalı (Zambaur: 'la seule grande dynastie musulmane dont la généalogie est restée obscure'); sikke bastılar,Türk,Hanlık,,Normal,39.65,66.96,220,10,13,Doğu İran/Mâverâünnehir,33.0,66.0,37.0,29.0,72.0,60.0,Merkezi İmparatorluk,Sünnî Hanefî,Gulâm/Memlûk Sistemi,Ticaret/Transit,Mimari;Edebiyat;Bilim/Rasathane,Selçuklu Çağı
